SECTION,Ag,Ix,rx,Iy,ry,Height,Width,b/t,h/t,t,Zx,Sx,J,C,Zy,Sy
HSS6X6X1/4,5.24,28.6,2.34,28.6,2.34,6,6,22.7,22.7,0.233,11.2,9.54,45.6,15.4,11.2,9.54
HSS6X6X3/16,3.98,22.3,2.37,22.3,2.37,6,6,31.5,31.5,0.174,8.63,7.42,35,11.8,8.63,7.42
HSS6X6X1/8,2.7,15.5,2.39,15.5,2.39,6,6,48.7,48.7,0.116,5.92,5.15,23.9,8.03,5.92,5.15
HSS6X5X1/2,8.81,41.1,2.16,30.8,1.87,6,5,7.74,9.91,0.465,17.2,13.7,59.8,23,15.2,12.3
HSS6X5X3/8,6.88,33.9,2.22,25.5,1.92,6,5,11.3,14.2,0.349,13.8,11.3,48.1,18.2,12.2,10.2
HSS6X5X5/16,5.85,29.6,2.25,22.3,1.95,6,5,14.2,17.6,0.291,11.9,9.85,41.4,15.6,10.5,8.91
HSS6X5X1/4,4.77,24.7,2.28,18.7,1.98,6,5,18.5,22.7,0.233,9.87,8.25,34.2,12.8,8.72,7.47
HSS6X5X3/16,3.63,19.3,2.31,14.6,2.01,6,5,25.7,31.5,0.174,7.62,6.44,26.3,9.76,6.73,5.84
HSS6X5X1/8,2.46,13.4,2.34,10.2,2.03,6,5,40.1,48.7,0.116,5.24,4.48,18,6.66,4.63,4.07
HSS6X4X1/2,7.88,34,2.08,17.8,1.5,6,4,5.59,9.91,0.465,14.6,11.3,40.3,17.8,11,8.89
HSS6X4X3/8,6.18,28.3,2.14,14.9,1.55,6,4,8.45,14.2,0.349,11.9,9.43,32.8,14.2,8.94,7.47
HSS6X4X5/16,5.26,24.8,2.17,13.2,1.58,6,4,10.8,17.6,0.291,10.3,8.27,28.4,12.2,7.75,6.58
HSS6X4X1/4,4.3,20.9,2.2,11.1,1.61,6,4,14.2,22.7,0.233,8.53,6.96,23.6,10.1,6.45,5.56
HSS6X4X3/16,3.28,16.4,2.23,8.76,1.63,6,4,20,31.5,0.174,6.6,5.46,18.2,7.74,5,4.38
HSS6X4X1/8,2.23,11.4,2.26,6.15,1.66,6,4,31.5,48.7,0.116,4.56,3.81,12.6,5.3,3.46,3.08
HSS6X3X1/2,6.95,26.8,1.97,8.69,1.12,6,3,3.44,9.91,0.465,12.1,8.95,23.1,12.7,7.28,5.79
HSS6X3X3/8,5.48,22.7,2.04,7.48,1.17,6,3,5.59,14.2,0.349,9.9,7.57,19.3,10.3,6.03,4.99
HSS6X3X5/16,4.68,20.1,2.07,6.67,1.19,6,3,7.32,17.6,0.291,8.61,6.69,16.9,8.91,5.27,4.45
HSS6X3X1/4,3.84,17,2.1,5.7,1.22,6,3,9.87,22.7,0.233,7.19,5.66,14.2,7.39,4.41,3.8
HSS6X3X3/16,2.93,13.4,2.14,4.55,1.25,6,3,14.3,31.5,0.174,5.59,4.47,11.1,5.71,3.45,3.03
HSS6X3X1/8,2,9.43,2.17,3.23,1.27,6,3,22.8,48.7,0.116,3.87,3.14,7.73,3.93,2.4,2.15
HSS6X2X3/8,4.78,17.1,1.89,2.77,0.76,6,2,2.73,14.2,0.349,7.93,5.71,8.42,6.35,3.46,2.77
HSS6X2X5/16,4.1,15.3,1.93,2.52,0.785,6,2,3.88,17.6,0.291,6.95,5.11,7.6,5.58,3.07,2.52
HSS6X2X1/4,3.37,13.1,1.97,2.21,0.81,6,2,5.58,22.7,0.233,5.84,4.37,6.55,4.7,2.61,2.21
HSS6X2X3/16,2.58,10.5,2.01,1.8,0.836,6,2,8.51,31.5,0.174,4.58,3.49,5.24,3.68,2.07,1.8
HSS6X2X1/8,1.77,7.42,2.05,1.31,0.861,6,2,14.2,48.7,0.116,3.19,2.47,3.72,2.57,1.46,1.31
HSS5-1/2X5-1/2X3/8,6.88,29.7,2.08,29.7,2.08,5.5,5.5,12.8,12.8,0.349,13.1,10.8,49,18.4,13.1,10.8
HSS5-1/2X5-1/2X5/16,5.85,25.9,2.11,25.9,2.11,5.5,5.5,15.9,15.9,0.291,11.3,9.43,42.2,15.7,11.3,9.43
HSS5-1/2X5-1/2X1/4,4.77,21.7,2.13,21.7,2.13,5.5,5.5,20.6,20.6,0.233,9.32,7.9,34.8,12.9,9.32,7.9
HSS5-1/2X5-1/2X3/16,3.63,17,2.16,17,2.16,5.5,5.5,28.6,28.6,0.174,7.19,6.17,26.7,9.85,7.19,6.17
HSS5-1/2X5-1/2X1/8,2.46,11.8,2.19,11.8,2.19,5.5,5.5,44.4,44.4,0.116,4.95,4.3,18.3,6.72,4.95,4.3
HSS5X5X1/2,7.88,26,1.82,26,1.82,5,5,7.74,7.74,0.465,13.1,10.4,44.6,18.7,13.1,10.4
HSS5X5X3/8,6.18,21.7,1.87,21.7,1.87,5,5,11.3,11.3,0.349,10.6,8.68,36.1,14.9,10.6,8.68
HSS5X5X5/16,5.26,19,1.9,19,1.9,5,5,14.2,14.2,0.291,9.16,7.62,31.2,12.8,9.16,7.62
HSS5X5X1/4,4.3,16,1.93,16,1.93,5,5,18.5,18.5,0.233,7.61,6.41,25.8,10.5,7.61,6.41
HSS5X5X3/16,3.28,12.6,1.96,12.6,1.96,5,5,25.7,25.7,0.174,5.89,5.03,19.9,8.08,5.89,5.03
HSS5X5X1/8,2.23,8.8,1.99,8.8,1.99,5,5,40.1,40.1,0.116,4.07,3.52,13.7,5.53,4.07,3.52
HSS5X4X1/2,6.95,21.2,1.75,14.9,1.46,5,4,5.59,7.74,0.465,10.9,8.49,30.3,14.5,9.35,7.43
HSS5X4X3/8,5.48,17.9,1.81,12.6,1.52,5,4,8.45,11.3,0.349,8.96,7.17,24.9,11.7,7.67,6.3
HSS5X4X5/16,4.68,15.8,1.84,11.1,1.54,5,4,10.8,14.2,0.291,7.79,6.32,21.7,10.1,6.67,5.57
HSS5X4X1/4,3.84,13.4,1.87,9.46,1.57,5,4,14.2,18.5,0.233,6.49,5.35,18,8.32,5.57,4.73
HSS5X4X3/16,2.93,10.6,1.9,7.48,1.6,5,4,20,25.7,0.174,5.05,4.22,14,6.41,4.34,3.74
HSS5X4X1/8,2,7.42,1.93,5.27,1.62,5,4,31.5,40.1,0.116,3.5,2.97,9.66,4.39,3.01,2.64
HSS5X3X1/2,6.02,16.4,1.65,7.18,1.09,5,3,3.44,7.74,0.465,8.83,6.57,17.6,10.3,6.1,4.78
HSS5X3X3/8,4.78,14.1,1.72,6.25,1.14,5,3,5.59,11.3,0.349,7.34,5.65,14.9,8.44,5.1,4.16
HSS5X3X5/16,4.1,12.6,1.75,5.6,1.17,5,3,7.32,14.2,0.291,6.42,5.03,13.1,7.33,4.48,3.73
HSS5X3X1/4,3.37,10.7,1.78,4.81,1.19,5,3,9.87,18.5,0.233,5.38,4.29,11,6.1,3.77,3.21
HSS5X3X3/16,2.58,8.53,1.82,3.85,1.22,5,3,14.3,25.7,0.174,4.21,3.41,8.64,4.73,2.96,2.57
HSS5X3X1/8,1.77,6.03,1.85,2.75,1.25,5,3,22.8,40.1,0.116,2.93,2.41,6.02,3.26,2.07,1.83
HSS5X2-1/2X1/4,3.14,9.4,1.73,3.13,0.999,5,2.5,7.73,18.5,0.233,4.83,3.76,7.93,4.99,2.95,2.5
HSS5X2-1/2X3/16,2.41,7.51,1.77,2.53,1.02,5,2.5,11.4,25.7,0.174,3.79,3.01,6.26,3.89,2.33,2.03
HSS5X2-1/2X1/8,1.65,5.34,1.8,1.82,1.05,5,2.5,18.5,40.1,0.116,2.65,2.14,4.4,2.7,1.64,1.46
HSS5X2X3/8,4.09,10.4,1.59,2.28,0.748,5,2,2.73,11.3,0.349,5.71,4.14,6.61,5.2,2.88,2.28
HSS5X2X5/16,3.52,9.35,1.63,2.1,0.772,5,2,3.88,14.2,0.291,5.05,3.74,5.99,4.59,2.57,2.1
HSS5X2X1/4,2.91,8.08,1.67,1.84,0.797,5,2,5.58,18.5,0.233,4.27,3.23,5.17,3.88,2.2,1.84
HSS5X2X3/16,2.24,6.5,1.7,1.51,0.823,5,2,8.51,25.7,0.174,3.37,2.6,4.15,3.05,1.75,1.51
HSS5X2X1/8,1.54,4.65,1.74,1.1,0.848,5,2,14.2,40.1,0.116,2.37,1.86,2.95,2.13,1.24,1.1
